year,location,country,name,gender,event,result,sec,medal
2020,Tokyo,ETH,SELEMON BAREGA,M,"Men's 10,000m",27:43.22,1663.22,G
2020,Tokyo,UGA,JOSHUA CHEPTEGEI,M,"Men's 10,000m",27:43.63,1663.63,S
2020,Tokyo,UGA,JACOB KIPLIMO,M,"Men's 10,000m",27:43.88,1663.88,B
2020,Tokyo,SWE,DANIEL STAHL,M,Men's Discus Throw,68.9,68.9,G
2020,Tokyo,SWE,SIMON PETTERSSON,M,Men's Discus Throw,67.39,67.39,S
2020,Tokyo,AUT,LUKAS WEISSHAIDINGER,M,Men's Discus Throw,67.07,67.07,B
2020,Tokyo,JAM,ELAINE THOMPSON-HERAH,W,Women's 100m,10.61,10.61,G
2020,Tokyo,JAM,SHELLY-ANN FRASER-PRYCE,W,Women's 100m,10.74,10.74,S
2020,Tokyo,JAM,SHERICKA JACKSON,W,Women's 100m,10.76,10.76,B
2020,Tokyo,ITA,LAMONT JACOBS,M,Men's 100m,9.80,9.8,G
2020,Tokyo,USA,FRED KERLEY,M,Men's 100m,9.84,9.84,S
2020,Tokyo,CAN,GRASSE DE,M,Men's 100m,9.89,9.89,B
2020,Tokyo,QAT,MUTAZ BARSHIM,M,Men's High Jump,2.37,2.37,G
2020,Tokyo,ITA,GIANMARCO TAMBERI,M,Men's High Jump,2.37,2.37,G
2020,Tokyo,BLR,MAKSIM NEDASEKAU,M,Men's High Jump,2.37,2.37,B
2020,Tokyo,CHN,LIJIAO GONG,W,Women's Shot Put,20.58,20.58,G
2020,Tokyo,USA,RAVEN SAUNDERS,W,Women's Shot Put,19.79,19.79,S
2020,Tokyo,NZL,VALERIE ADAMS,W,Women's Shot Put,19.62,19.62,B
2020,Tokyo,VEN,YULIMAR ROJAS,W,Women's Triple Jump,15.67,15.67,G
2020,Tokyo,POR,PATRICIA MAMONA,W,Women's Triple Jump,15.01,15.01,S
2020,Tokyo,ESP,ANA PELETEIRO,W,Women's Triple Jump,14.87,14.87,B
2020,Tokyo,MAR,BAKKALI EL,M,Men's 3000m Steeplechase,8:08.90,488.9,G
2020,Tokyo,ETH,LAMECHA GIRMA,M,Men's 3000m Steeplechase,8:10.38,490.38,S
2020,Tokyo,KEN,BENJAMIN KIGEN,M,Men's 3000m Steeplechase,8:11.45,491.45,B
2020,Tokyo,GRE,MILTIADIS TENTOGLOU,M,Men's Long Jump,8.41,8.41,G
2020,Tokyo,CUB,JUAN ECHEVARRIA,M,Men's Long Jump,8.41,8.41,S
2020,Tokyo,CUB,MAYKEL MASSO,M,Men's Long Jump,8.21,8.21,B
2020,Tokyo,PUR,JASMINE CAMACHO-QUINN,W,Women's 100m Hurdles,12.37,12.37,G
2020,Tokyo,USA,KENDRA HARRISON,W,Women's 100m Hurdles,12.52,12.52,S
2020,Tokyo,JAM,MEGAN TAPPER,W,Women's 100m Hurdles,12.55,12.55,B
2020,Tokyo,NED,SIFAN HASSAN,W,Women's 5000m,14:36.79,876.79,G
2020,Tokyo,KEN,HELLEN OBIRI,W,Women's 5000m,14:38.36,878.36,S
2020,Tokyo,ETH,GUDAF TSEGAY,W,Women's 5000m,14:38.87,878.87,B
2020,Tokyo,USA,VALARIE ALLMAN,W,Women's Discus Throw,68.98,68.98,G
2020,Tokyo,GER,KRISTIN PUDENZ,W,Women's Discus Throw,66.86,66.86,S
2020,Tokyo,CUB,YAIME PEREZ,W,Women's Discus Throw,65.72,65.72,B
2020,Tokyo,NOR,KARSTEN WARHOLM,M,Men's 400m Hurdles,45.94,45.94,G
2020,Tokyo,USA,RAI BENJAMIN,M,Men's 400m Hurdles,46.17,46.17,S
2020,Tokyo,BRA,SANTOS DOS,M,Men's 400m Hurdles,46.72,46.72,B
2020,Tokyo,SWE,ARMAND DUPLANTIS,M,Men's Pole Vault,6.02,6.02,G
2020,Tokyo,USA,CHRISTOPHER NILSEN,M,Men's Pole Vault,5.97,5.97,S
2020,Tokyo,BRA,THIAGO BRAZ,M,Men's Pole Vault,5.87,5.87,B
2020,Tokyo,JAM,ELAINE THOMPSON-HERAH,W,Women's 200m,21.53,21.53,G
2020,Tokyo,NAM,CHRISTINE MBOMA,W,Women's 200m,21.81,21.81,S
2020,Tokyo,USA,GABRIELLE THOMAS,W,Women's 200m,21.87,21.87,B
2020,Tokyo,USA,ATHING MU,W,Women's 800m,1:55.21,115.21,G
2020,Tokyo,GBR,KEELY HODGKINSON,W,Women's 800m,1:55.88,115.88,S
2020,Tokyo,POL,ANITA WLODARCZYK,W,Women's Hammer Throw,78.48,78.48,G
2020,Tokyo,CHN,ZHENG WANG,W,Women's Hammer Throw,77.03,77.03,S
2020,Tokyo,POL,MALWINA KOPRON,W,Women's Hammer Throw,75.49,75.49,B
2020,Tokyo,GER,MALAIKA MIHAMBO,W,Women's Long Jump,7,7,G
2020,Tokyo,USA,BRITTNEY REESE,W,Women's Long Jump,6.97,6.97,S
2020,Tokyo,NGR,ESE BRUME,W,Women's Long Jump,6.97,6.97,B
2020,Tokyo,CAN,GRASSE DE,M,Men's 200m,19.62,19.62,G
2020,Tokyo,USA,KENNETH BEDNAREK,M,Men's 200m,19.68,19.68,S
2020,Tokyo,USA,NOAH LYLES,M,Men's 200m,19.74,19.74,B
2020,Tokyo,KEN,EMMANUEL KORIR,M,Men's 800m,1:45.06,105.06,G
2020,Tokyo,KEN,FERGUSON ROTICH,M,Men's 800m,1:45.23,105.23,S
2020,Tokyo,POL,PATRYK DOBEK,M,Men's 800m,1:45.39,105.39,B
2020,Tokyo,CAN,DAMIAN WARNER,M,Men's Decathlon,9018,9018,G
2020,Tokyo,FRA,KEVIN MAYER,M,Men's Decathlon,8726,8726,S
2020,Tokyo,AUS,ASHLEY MOLONEY,M,Men's Decathlon,8649,8649,B
2020,Tokyo,POL,WOJCIECH NOWICKI,M,Men's Hammer Throw,82.52,82.52,G
2020,Tokyo,NOR,EIVIND HENRIKSEN,M,Men's Hammer Throw,81.58,81.58,S
2020,Tokyo,POL,PAWEL FAJDEK,M,Men's Hammer Throw,81.53,81.53,B
2020,Tokyo,UGA,PERUTH CHEMUTAI,W,Women's 3000m Steeplechase,9:01.45,541.45,G
2020,Tokyo,USA,COURTNEY FRERICHS,W,Women's 3000m Steeplechase,9:04.79,544.79,S
2020,Tokyo,KEN,HYVIN KIYENG,W,Women's 3000m Steeplechase,9:05.39,545.39,B
2020,Tokyo,USA,SYDNEY MCLAUGHLIN,W,Women's 400m Hurdles,51.46,51.46,G
2020,Tokyo,USA,DALILAH MUHAMMAD,W,Women's 400m Hurdles,51.58,51.58,S
2020,Tokyo,NED,FEMKE BOL,W,Women's 400m Hurdles,52.03,52.03,B
2020,Tokyo,BEL,NAFISSATOU THIAM,W,Women's Heptathlon,6791,6791,G
2020,Tokyo,NED,ANOUK VETTER,W,Women's Heptathlon,6689,6689,S
2020,Tokyo,NED,EMMA OOSTERWEGEL,W,Women's Heptathlon,6590,6590,B
2020,Tokyo,JAM,HANSLE PARCHMENT,M,Men's 110m Hurdles,13.04,13.04,G
2020,Tokyo,USA,GRANT HOLLOWAY,M,Men's 110m Hurdles,13.09,13.09,S
2020,Tokyo,JAM,RONALD LEVY,M,Men's 110m Hurdles,13.1,13.1,B
2020,Tokyo,BAH,STEVEN GARDINER,M,Men's 400m,43.85,43.85,G
2020,Tokyo,COL,ANTHONY ZAMBRANO,M,Men's 400m,44.08,44.08,S
2020,Tokyo,GRN,KIRANI JAMES,M,Men's 400m,44.19,44.19,B
2020,Tokyo,USA,RYAN CROUSER,M,Men's Shot Put,23.3,23.3,G
2020,Tokyo,USA,JOE KOVACS,M,Men's Shot Put,22.65,22.65,S
2020,Tokyo,NZL,TOMAS WALSH,M,Men's Shot Put,22.47,22.47,B
2020,Tokyo,POR,PEDRO PICHARDO,M,Men's Triple Jump,17.98,17.98,G
2020,Tokyo,CHN,YAMING ZHU,M,Men's Triple Jump,17.57,17.57,S
2020,Tokyo,BUR,HUGUES ZANGO,M,Men's Triple Jump,17.47,17.47,B
2020,Tokyo,USA,KATIE NAGEOTTE,W,Women's Pole Vault,4.9,4.9,G
2020,Tokyo,ROC,ANZHELIKA SIDOROVA,W,Women's Pole Vault,4.85,4.85,S
2020,Tokyo,GBR,HOLLY BRADSHAW,W,Women's Pole Vault,4.85,4.85,B
2020,Tokyo,ITA,LAMONT JACOBS,M,Men's 4 x 100m Relay,37.50,37.5,G
2020,Tokyo,ITA,FILIPPO TORTU,M,Men's 4 x 100m Relay,37.50,37.5,G
2020,Tokyo,ITA,ESEOSA DESALU,M,Men's 4 x 100m Relay,37.50,37.5,G
2020,Tokyo,ITA,LORENZO PATTA,M,Men's 4 x 100m Relay,37.50,37.5,G
2020,Tokyo,GBR,NETHANEEL MITCHELL-BLAKE,M,Men's 4 x 100m Relay,37.7,37.7,S
2020,Tokyo,GBR,RICHARD KILTY,M,Men's 4 x 100m Relay,37.7,37.7,S
2020,Tokyo,GBR,CHIJINDU UJAH,M,Men's 4 x 100m Relay,37.7,37.7,S
2020,Tokyo,GBR,ZHARNEL HUGHES,M,Men's 4 x 100m Relay,37.7,37.7,S
2020,Tokyo,CAN,BRENDON RODNEY,M,Men's 4 x 100m Relay,37.79,37.79,B
2020,Tokyo,CAN,GRASSE DE,M,Men's 4 x 100m Relay,37.79,37.79,B
2020,Tokyo,CAN,JEROME BLAKE,M,Men's 4 x 100m Relay,37.79,37.79,B
2020,Tokyo,CAN,AARON BROWN,M,Men's 4 x 100m Relay,37.79,37.79,B
2020,Tokyo,UGA,JOSHUA CHEPTEGEI,M,Men's 5000m,12:58.15,778.15,G
2020,Tokyo,CAN,MOHAMMED AHMED,M,Men's 5000m,12:58.61,778.61,S
2020,Tokyo,USA,PAUL CHELIMO,M,Men's 5000m,12:59.05,779.05,B
2020,Tokyo,KEN,FAITH KIPYEGON,W,Women's 1500m,3:53.11,233.11,G
2020,Tokyo,GBR,LAURA MUIR,W,Women's 1500m,3:54.50,234.5,S
2020,Tokyo,NED,SIFAN HASSAN,W,Women's 1500m,3:55.86,235.86,B
2020,Tokyo,JAM,NATASHA MORRISON,W,Women's 4 x 100m Relay,41.02,41.02,G
2020,Tokyo,JAM,REMONA BURCHELL,W,Women's 4 x 100m Relay,41.02,41.02,G
2020,Tokyo,JAM,ELAINE THOMPSON-HERAH,W,Women's 4 x 100m Relay,41.02,41.02,G
2020,Tokyo,JAM,BRIANA WILLIAMS,W,Women's 4 x 100m Relay,41.02,41.02,G
2020,Tokyo,JAM,SHERICKA JACKSON,W,Women's 4 x 100m Relay,41.02,41.02,G
2020,Tokyo,JAM,SHELLY-ANN FRASER-PRYCE,W,Women's 4 x 100m Relay,41.02,41.02,G
2020,Tokyo,USA,TEAHNA DANIELS,W,Women's 4 x 100m Relay,41.45,41.45,S
2020,Tokyo,USA,GABRIELLE THOMAS,W,Women's 4 x 100m Relay,41.45,41.45,S
2020,Tokyo,USA,ENGLISH GARDNER,W,Women's 4 x 100m Relay,41.45,41.45,S
2020,Tokyo,USA,JAVIANNE OLIVER,W,Women's 4 x 100m Relay,41.45,41.45,S
2020,Tokyo,USA,JENNA PRANDINI,W,Women's 4 x 100m Relay,41.45,41.45,S
2020,Tokyo,USA,ALEIA HOBBS,W,Women's 4 x 100m Relay,41.45,41.45,S
2020,Tokyo,GBR,IMANI LANSIQUOT,W,Women's 4 x 100m Relay,41.88,41.88,B
2020,Tokyo,GBR,DARYLL NEITA,W,Women's 4 x 100m Relay,41.88,41.88,B
2020,Tokyo,GBR,ASHA PHILIP,W,Women's 4 x 100m Relay,41.88,41.88,B
2020,Tokyo,GBR,DINA ASHER-SMITH,W,Women's 4 x 100m Relay,41.88,41.88,B
2020,Tokyo,BAH,SHAUNAE MILLER-UIBO,W,Women's 400m,48.36,48.36,G
2020,Tokyo,DOM,MARILEIDY PAULINO,W,Women's 400m,49.2,49.2,S
2020,Tokyo,USA,ALLYSON FELIX,W,Women's 400m,49.46,49.46,B
2020,Tokyo,CHN,SHIYING LIU,W,Women's Javelin Throw,66.34,66.34,G
2020,Tokyo,POL,MARIA ANDREJCZYK,W,Women's Javelin Throw,64.61,64.61,S
2020,Tokyo,AUS,KELSEY-LEE BARBER,W,Women's Javelin Throw,64.56,64.56,B
2020,Tokyo,NOR,JAKOB INGEBRIGTSEN,M,Men's 1500m,3:28.32,208.32,G
2020,Tokyo,KEN,TIMOTHY CHERUIYOT,M,Men's 1500m,3:29.01,209.01,S
2020,Tokyo,GBR,JOSH KERR,M,Men's 1500m,3:29.05,209.05,B
2020,Tokyo,USA,RANDOLPH ROSS,M,Men's 4 x 400m Relay,2:55.70,175.7,G
2020,Tokyo,USA,RAI BENJAMIN,M,Men's 4 x 400m Relay,2:55.70,175.7,G
