Event,gold_name,gold_result,silver_name,silver_result,bronze_name,bronze_result
Men's 100m,Marcell Jacobs,9.80,Fred Kerley,9.84,Andre De Grasse,9.89
Men's 200m,Andre De Grasse,19.62,Kenny Bednarek,19.68,Noah Lyles,19.74
Men's 400m,Steven Gardiner,43.85,Anthony Zambrano,44.08,Kirani James,44.19
Men's 800m,Emmanuel Korir,1:45.06,Ferguson Rotich,1:45.23,Patryk Dobek,1:45.39
Men's 1500m,Jakob Ingebrigtsen,3:28.32,Timothy Cheruiyot,3:29.01,Josh Kerr,3:29.05
Men's 5000m,Joshua Cheptegei,12:58.15,Mohammed Ahmed,12:58.61,Paul Chelimo,12:59.05
"Men's 10,000m",Selemon Barega,27:43.22,Joshua Cheptegei,27:43.63,Jacob Kiplimo,27:43.88
Men's 110m Hurdles,Hansle Parchment,13.04,Grant Holloway,13.09,Ronald Levy,13.1
Men's 400m Hurdles,Karsten Warholm,45.94,Rai Benjamin,46.17,Alison dos Santos,46.72
Men's 3000m Steeplechase,Soufiane El Bakkali,8:08.90,Lamecha Girma,8:10.38,Benjamin Kigen,8:11.45
Men's 4 x 100m Relay,Italy,37.50,Canada,37.7,China,37.79
Men's 4 x 400m Relay,United States,2:55.70,Netherlands,2:57.18,Botswana,2:57.27
Men's Marathon,Eliud Kipchoge,2:08:38,Abdi Nageeye,2:09:58,Bashir Abdi,2:10:00
Men's 20km Walk,Massimo Stano,1:21:05,Koki Ikeda,1:21:14,Toshikazu Yamanishi,1:21:28
Men's 50km Walk,Dawid Tomala,3:50:08,Jonathan Hilbert,3:50:44,Evan Dunfee,3:50:59
Men's High Jump,Gianmarco Tamberi,2.37,,,Maksim Nedasekau,2.37
Men's Pole Vault,Armand Duplantis,6.02,Chris Nilsen,5.97,Thiago Braz,5.87
Men's Long Jump,Miltiadis Tentoglou,8.41,Juan Miguel Echevarría,8.41,Maykel Massó,8.21
Men's Triple Jump,Pedro Pichardo,17.98,Zhu Yaming,17.57,Hugues Fabrice Zango,17.47
Men's Shot Put,Ryan Crouser,23.3,Joe Kovacs,22.65,Tom Walsh,22.47
Men's Discus Throw,Daniel Ståhl,68.9,Simon Pettersson,67.39,Lukas Weißhaidinger,67.07
Men's Hammer Throw,Wojciech Nowicki,82.52,Eivind Henriksen,81.58,Paweł Fajdek,81.53
Men's Javelin Throw,Neeraj Chopra,87.58,Jakub Vadlejch,86.67,Vítězslav Veselý,85.44
Men's Decathlon,Damian Warner,9018,Kevin Mayer,8726,Ashley Moloney,8649
Women's 100m,Elaine Thompson-Herah,10.61,Shelly-Ann Fraser-Pryce,10.74,Shericka Jackson,10.76
Women's 200m,Elaine Thompson-Herah,21.53,Christine Mboma,21.81,Gabby Thomas,21.87
Women's 400m,Shaunae Miller-Uibo,48.36,Marileidy Paulino,49.2,Allyson Felix,49.46
Women's 800m,Athing Mu,1:55.21,Keely Hodgkinson,1:55.88,Raevyn Rogers,1:56.81 PB
Women's 1500m,Faith Kipyegon,3:53.11,Laura Muir,3:54.50,Sifan Hassan,3:55.86
Women's 5000m,Sifan Hassan,14:36.79,Hellen Obiri,14:38.36,Gudaf Tsegay,14:38.87
"Women's 10,000m",Sifan Hassan,29:55.32,Kalkidan Gezahegne,29:56.18,Letesenbet Gidey,30:01.72
Women's 100m Hurdles,Jasmine Camacho-Quinn,12.37,Kendra Harrison,12.52,Megan Tapper,12.55
Women's 400m Hurdles,Sydney McLaughlin,51.46,Dalilah Muhammad,51.58,Femke Bol,52.03
Women's 3000m Steeplechase,Peruth Chemutai,9:01.45,Courtney Frerichs,9:04.79,Hyvin Jepkemoi,9:05.39
Women's 4 x 100m Relay,Jamaica,41.02,United States,41.45,Great Britain,41.88
Women's 4 x 400m Relay,United States,3:16.85,Poland,3:20.53,Jamaica,3:21.24
Women's Marathon,Peres Jepchirchir,2:27:20,Brigid Kosgei,2:27:36,Molly Seidel,2:27:46
Women's 20km Walk,Antonella Palmisano,1:29:12,Sandra Arenas,1:29:37,Liu Hong,1:29:57
Women's High Jump,Mariya Lasitskene,2.04,Nicola McDermott,2.02,Yaroslava Mahuchikh,2
Women's Pole Vault,Katie Nageotte,4.9,Anzhelika Sidorova,4.85,Holly Bradshaw,4.85
Women's Long Jump,Malaika Mihambo,7,Brittney Reese,6.97,Ese Brume,6.97
Women's Triple Jump,Yulimar Rojas,15.67,Patrícia Mamona,15.01,Ana Peleteiro,14.87
Women's Shot Put,Gong Lijiao,20.58,Raven Saunders,19.79,Valerie Adams,19.62
Women's Discus Throw,Valarie Allman,68.98,Kristin Pudenz,66.86,Yaime Pérez,65.72
Women's Hammer Throw,Anita Włodarczyk,78.48,Wang Zheng,77.03,Malwina Kopron,75.49
Women's Javelin Throw,Liu Shiying,66.34,Maria Andrejczyk,64.61,Kelsey-Lee Barber,64.56
Women's Heptathlon,Nafissatou Thiam,6791,Anouk Vetter,6689,Emma Oosterwegel,6590
